Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
204.151,612.763,2.829,0,0,2.702,0,0.127,0,0,615.592,0,408.612,0,0,939.859,-939.859,0,17997.107,17381.514,0,0,0,0,0,0,0,0,0,0,0,14088.462,2447.855,0,14088.462,16536.317,14088.462,16947.619,0,449.992,132.081,433.896,7.900,42.277,0,0,0,0,0,0,0,0,0,0,56.348,69.202,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,8.678,6,74,Radiative heating,,20.502,20.502,17.533,16.398,18.453,7.900,0.600,231.425,0
204.151,612.763,2.792,0,0,2.702,0,0.090,0,0,615.555,0,408.612,0,0,919.404,-919.404,0,17660.066,17044.511,0,0,0,0,0,0,0,0,0,0,0,13755.342,2359.041,0,13755.342,16114.383,13755.342,16516.011,0,449.992,66.041,528.500,7.700,42.052,0,0,0,0,0,0,0,0,0,0,55.677,68.204,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,10.570,6,75,Radiative heating,,20.502,20.502,17.625,16.535,18.517,7.700,0.300,231.425,0
204.151,612.763,2.747,0,0,2.702,0,0.045,0,0,615.510,0,408.612,0,0,901.406,-901.406,0,17462.590,16847.080,0,0,0,0,0,0,0,0,0,0,0,13478.053,2281.950,0,13478.053,15760.003,13478.053,16153.602,0,449.992,16.510,693.478,7.500,41.759,0,0,0,0,0,0,0,0,0,0,55.110,67.362,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,13.870,6,73,Radiative heating,,20.502,20.502,17.703,16.653,18.571,7.500,0.200,231.425,0
204.151,612.763,2.747,0,0,2.702,0,0.045,0,0,615.510,0,408.612,0,0,891.277,-891.277,0,17138.724,16523.214,0,0,0,0,0,0,0,0,0,0,0,13219.357,2223.942,0,13219.357,15443.299,13219.357,15829.382,0,449.992,16.510,693.833,7.400,41.619,0,0,0,0,0,0,0,0,0,0,54.600,66.606,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,13.877,6,73,Radiative heating,,20.502,20.502,17.772,16.754,18.619,7.400,0.500,231.425,0
204.151,612.763,2.766,0,0,2.702,0,0.064,0,0,615.529,0,408.612,0,0,881.626,-881.626,0,16884.894,16269.365,0,0,0,0,0,0,0,0,0,0,0,12998.848,2173.049,0,12998.848,15171.897,12998.848,15551.582,0,449.992,33.020,717.783,7.300,41.479,0,0,0,0,0,0,0,0,0,0,54.160,65.956,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,14.356,6,72,Radiative heating,,20.502,20.502,17.832,16.842,18.660,7.300,0.500,231.425,0
204.151,612.763,2.979,0,0,2.702,0,0.277,0,0,615.742,0,408.612,0,0,874.998,-874.998,0,16890.628,16274.886,0,0,0,0,0,0,0,0,0,0,0,12812.742,2128.510,0,12812.742,14941.253,12812.742,15315.546,0,449.992,627.386,959.340,7.200,41.394,0,0,0,0,0,0,0,0,0,0,53.785,65.402,10,60,0.197,0,0,0.080,0.000,0,0,0,0,1318.446,0,19.187,6,73,Radiative heating,,20.502,20.502,17.883,16.918,18.695,7.200,1.000,231.425,0
812.465,2382.402,5.038,0,0,2.702,0,2.336,0,0,2387.440,0,1569.937,0,0,870.738,-870.738,0,18886.862,16499.421,0,0,0,0,0,0,0,0,0,0,0,11824.344,1964.313,0,11824.344,13788.657,11824.344,14134.076,0,359.994,1634.505,2365.345,7.200,41.353,0,0,0,0,0,0,0,0,0,0,51.882,62.603,10,60,0.197,0,0,0.064,0.000,0,0,0,0,1318.446,0,47.307,5,72,Radiative heating,,20.502,20.502,17.953,17.009,18.743,7.200,0.500,185.140,0
1624.930,4764.805,4.885,0,0,2.702,0,2.183,0,0,4769.690,0,3139.875,0,0,860.494,-839.868,0,19375.216,14605.526,0,0,0,0,0,0,0,0,0,0,0,10493.876,1732.429,0,10493.876,12226.306,10493.876,12532.899,0,339.175,1427.310,2072.627,7.100,41.199,0,0,0,0,0,0,0,0,0,0,49.231,58.737,10,60,0.197,0,0,0.060,0.000,0,0,0,0,1318.446,0,41.453,4,71,Radiative heating,,20.502,20.502,18.039,17.123,18.803,7.100,1.600,174.433,0
968.684,2893.462,3.102,0,0,2.702,0,0.399,0,0,2896.563,0,1924.778,0,0,868.074,-607.667,0,17979.306,15082.743,0,0,0,0,0,0,0,0,0,0,0,11022.134,1842.597,0,11022.134,12864.732,11022.134,13186.678,0,318.356,1302.666,1896.065,7.300,41.451,0,0,0,0,0,0,0,0,0,0,50.324,60.326,10,60,0.197,0,0,0.056,0.000,0,0,0,0,1318.446,0,37.921,4,71,Radiative heating,,20.502,20.502,18.093,17.207,18.840,7.300,0.900,163.726,0
1176.976,3574.874,3.077,0,0,2.702,0,0.375,0,0,3577.950,0,2397.898,0,0,923.759,-291.400,0,17335.276,13757.326,0,0,0,0,0,0,0,0,0,0,0,9978.473,1817.149,0,9978.473,11795.621,9978.473,12086.905,0,387.535,1145.001,1670.420,8.600,42.706,0,0,0,0,0,0,0,0,0,0,48.476,57.644,10,60,0.196,0,0,0.068,0.000,0,0,0,0,1318.446,0,33.408,5,66,Radiative heating,,20.502,20.502,18.200,17.335,18.914,8.600,4.100,199.304,0
